,filename,outsideShape,factor,bitPerPart,radius,psnr
100,10-10-61-64-2.png,"(10, 10)",61,64,2,44.023749958215234
101,10-10-61-128-2.png,"(10, 10)",61,128,2,44.011605679746935
102,10-10-71-4-2.png,"(10, 10)",71,4,2,44.49856034856266
103,10-10-71-8-2.png,"(10, 10)",71,8,2,44.117225335554515
104,10-10-71-16-2.png,"(10, 10)",71,16,2,44.01170268476862
105,10-10-71-32-2.png,"(10, 10)",71,32,2,44.01708523171074
106,10-10-71-64-2.png,"(10, 10)",71,64,2,44.013739309162005
107,10-10-71-128-2.png,"(10, 10)",71,128,2,44.0179482266231
108,10-10-81-4-2.png,"(10, 10)",81,4,2,44.45549173083702
109,10-10-81-8-2.png,"(10, 10)",81,8,2,44.08980948781903
110,10-10-81-16-2.png,"(10, 10)",81,16,2,44.02381363763333
111,10-10-81-32-2.png,"(10, 10)",81,32,2,44.01322056284176
112,10-10-81-64-2.png,"(10, 10)",81,64,2,44.002013731252035
113,10-10-81-128-2.png,"(10, 10)",81,128,2,43.99309346804462
114,10-10-91-4-2.png,"(10, 10)",91,4,2,44.447744275641696
115,10-10-91-8-2.png,"(10, 10)",91,8,2,44.08678089537396
116,10-10-91-16-2.png,"(10, 10)",91,16,2,44.00609579217263
117,10-10-91-32-2.png,"(10, 10)",91,32,2,44.0170535113527
118,10-10-91-64-2.png,"(10, 10)",91,64,2,44.007152230985646
119,10-10-91-128-2.png,"(10, 10)",91,128,2,44.018954896365656
120,20-20-1-4-1.png,"(20, 20)",1,4,1,44.17097270096076
121,20-20-1-8-1.png,"(20, 20)",1,8,1,43.58261610107803
122,20-20-1-16-1.png,"(20, 20)",1,16,1,43.6746620836934
123,20-20-1-32-1.png,"(20, 20)",1,32,1,43.62778881126595
124,20-20-1-64-1.png,"(20, 20)",1,64,1,43.691341776556605
125,20-20-1-128-1.png,"(20, 20)",1,128,1,43.48019619034372
126,20-20-11-4-1.png,"(20, 20)",11,4,1,42.1108249618992
127,20-20-11-8-1.png,"(20, 20)",11,8,1,41.83458483411008
128,20-20-11-16-1.png,"(20, 20)",11,16,1,41.78162310753741
129,20-20-11-32-1.png,"(20, 20)",11,32,1,41.777105726613655
130,20-20-11-64-1.png,"(20, 20)",11,64,1,41.86074995355099
131,20-20-11-128-1.png,"(20, 20)",11,128,1,41.69503607394634
132,20-20-21-4-1.png,"(20, 20)",21,4,1,41.90386322638175
133,20-20-21-8-1.png,"(20, 20)",21,8,1,41.746544389833
134,20-20-21-16-1.png,"(20, 20)",21,16,1,41.70168199037047
135,20-20-21-32-1.png,"(20, 20)",21,32,1,41.64775917110238
136,20-20-21-64-1.png,"(20, 20)",21,64,1,41.73410563644324
