,filename,outsideShape,factor,bitPerPart,radius,psnr
99,10-10-50-32-2.png,"(10, 10)",50,32,2,44.032114429485105
100,10-10-50-64-2.png,"(10, 10)",50,64,2,44.019043078833135
101,10-10-50-128-2.png,"(10, 10)",50,128,2,44.006298798902826
102,10-10-60-4-2.png,"(10, 10)",60,4,2,44.510266587735074
103,10-10-60-8-2.png,"(10, 10)",60,8,2,44.13382344375795
104,10-10-60-16-2.png,"(10, 10)",60,16,2,44.03961894903826
105,10-10-60-32-2.png,"(10, 10)",60,32,2,44.02259250504238
106,10-10-60-64-2.png,"(10, 10)",60,64,2,44.01357480138947
107,10-10-60-128-2.png,"(10, 10)",60,128,2,44.00237223244784
108,10-10-70-4-2.png,"(10, 10)",70,4,2,44.507047292918855
109,10-10-70-8-2.png,"(10, 10)",70,8,2,44.11588001786613
110,10-10-70-16-2.png,"(10, 10)",70,16,2,44.02747783064775
111,10-10-70-32-2.png,"(10, 10)",70,32,2,44.01468790988626
112,10-10-70-64-2.png,"(10, 10)",70,64,2,44.027848570817
113,10-10-70-128-2.png,"(10, 10)",70,128,2,44.01390662823313
114,10-10-80-4-2.png,"(10, 10)",80,4,2,44.44574942267808
115,10-10-80-8-2.png,"(10, 10)",80,8,2,44.07763788656682
116,10-10-80-16-2.png,"(10, 10)",80,16,2,44.02386058950209
117,10-10-80-32-2.png,"(10, 10)",80,32,2,44.02640391802691
118,10-10-80-64-2.png,"(10, 10)",80,64,2,44.00754504812967
119,10-10-80-128-2.png,"(10, 10)",80,128,2,44.009433166792704
120,10-10-90-4-2.png,"(10, 10)",90,4,2,44.45986462436294
121,10-10-90-8-2.png,"(10, 10)",90,8,2,44.09135777195939
122,10-10-90-16-2.png,"(10, 10)",90,16,2,44.019387260340665
123,10-10-90-32-2.png,"(10, 10)",90,32,2,44.01197184299597
124,10-10-90-64-2.png,"(10, 10)",90,64,2,44.01717800806999
125,10-10-90-128-2.png,"(10, 10)",90,128,2,44.022252004079895
126,10-10-100-4-2.png,"(10, 10)",100,4,2,44.430928319592766
127,10-10-100-8-2.png,"(10, 10)",100,8,2,44.07941192465111
128,10-10-100-16-2.png,"(10, 10)",100,16,2,44.004965848125764
129,10-10-100-32-2.png,"(10, 10)",100,32,2,44.00430344454254
130,10-10-100-64-2.png,"(10, 10)",100,64,2,44.00665821408935
131,10-10-100-128-2.png,"(10, 10)",100,128,2,44.01702993176764
132,20-20-1-4-1.png,"(20, 20)",1,4,1,44.17097270096076
133,20-20-1-8-1.png,"(20, 20)",1,8,1,43.58261610107803
134,20-20-1-16-1.png,"(20, 20)",1,16,1,43.6746620836934
135,20-20-1-32-1.png,"(20, 20)",1,32,1,43.62778881126595
136,20-20-1-64-1.png,"(20, 20)",1,64,1,43.691341776556605
137,20-20-1-128-1.png,"(20, 20)",1,128,1,43.48019619034372
138,20-20-10-4-1.png,"(20, 20)",10,4,1,42.14737479130444
139,20-20-10-8-1.png,"(20, 20)",10,8,1,41.8556282644459
140,20-20-10-16-1.png,"(20, 20)",10,16,1,41.80858333058418
141,20-20-10-32-1.png,"(20, 20)",10,32,1,41.79655320073329
142,20-20-10-64-1.png,"(20, 20)",10,64,1,41.888133521275456
143,20-20-10-128-1.png,"(20, 20)",10,128,1,41.71528247966467
144,20-20-20-4-1.png,"(20, 20)",20,4,1,41.8946314455658
145,20-20-20-8-1.png,"(20, 20)",20,8,1,41.73758481474244
146,20-20-20-16-1.png,"(20, 20)",20,16,1,41.68260486784334
147,20-20-20-32-1.png,"(20, 20)",20,32,1,41.66534834015734
148,20-20-20-64-1.png,"(20, 20)",20,64,1,41.728548968234705
149,20-20-20-128-1.png,"(20, 20)",20,128,1,41.612513703401106
150,20-20-30-4-1.png,"(20, 20)",30,4,1,41.92326674111224
